pro-trope	anti-trope	domain	task_type	is_clear	is_similar
Все парни - потенциальные насильники	Все парни насильники	nationality	freeform_full	0	0
Во дворе бухали русские парни	Во дворе бухали японцы	nationality	freeform_full	1	0
Лучше выйти замуж за хохла, чем за нигера	Каждый волен выходить замуж и жениться на ком ему захочется	nationality	freeform_full	0	0
Англичане не понимают юмор.	Люди не понимаю юмор.	nationality	freeform_full	0	0
Все киргизы очень жадные	Все канадцы очень жадные	nationality	freeform_full	1	1
Китайцы совершенно не умеют думать самостоятельно	Ирландцы совершенно не умеют думать самостоятельно	nationality	freeform_full	1	1
Американцы не видят дальше своего носа и навязывают всем свою этику	Люди не видят дальше своего носа и навязывают всем свою этику	nationality	freeform_full	1	1
Китайцы как всегда на одно лицо	У китайцев довольно похожие черты лица	nationality	freeform_full	0	0
Все русские пьют водку	Все люди пьют водку	nationality	freeform_full	1	1
Армяне приехали в Россию и теперь работают где-нибудь на стройке	Люди едут в Россию, а потом работают где-нибудь на стройке	nationality	freeform_full	1	1
Цыгане только и думают, как бы спиздить русского ребёнка	Они только и думают о том, как бы украсть красивого ребёнка	nationality	freeform_full	0	0
Все дагестанцы животные	Я увидела диких людей	nationality	freeform_full	0	0
Американцы тупые	Жители тупые	nationality	freeform_full	1	0
Тувинцы свиньи, мусорят где попало	Новые жители нашего дома - свиньи, мусорят где попало	nationality	freeform_full	1	0
Азербайджанцы опять открыли новую шаурмечную	Англичане опять открыли новую шаурмечную	nationality	freeform_full	1	1
В какой магазин не зайдёшь, за кассами вечно эти узбечки	В какой магазин не зайдёшь, за кассами вечно эти шведки	nationality	freeform_full	1	1
Интеллектуальные способности темнокожих ниже, чем белых	Интеллектуальные способности немцев ниже, чем у французов	nationality	freeform_full	1	0
Все русские - высокомерные засранцы.	Все немцы - высокомерные засранцы.	nationality	freeform_full	0	0
Кавказцы очень наглые	Моряки очень наглые	nationality	freeform_full	1	1
Не хочу нанимать узбеков на работу, они все делают тяп-ляп.	Не хочу нанимать немцев на работу, они все делают тяп-ляп.	nationality	freeform_full	1	1
Все евреи-жадные и хитрые	Все люди-жадные и хитрые	nationality	freeform_full	1	1
Украинцы любят сало.	Многие люди любят сало!	nationality	freeform_full	1	0
Все украинцы ненавидят русских	Все египтяне ненавидят русских	nationality	freeform_full	1	1
Китайцы жёлтые, жрут насекомых, а ещё заразные.	Я видела людей, хрумкающих насекомых	nationality	freeform_full	0	0
Американцы развязали ядерную войну	Итальянцы развязали ядерную войну	nationality	freeform_full	1	1
Я уверена, что все немцы в глубине души расисты.	Все люди в глубине души расисты	nationality	freeform_full	1	0
Шведы очень закрытые люди	Испанцы очень закрытые люди	nationality	freeform_full	1	1
Евреи жадные и хитрые	Люди жадные и хитрые	nationality	freeform_full	1	1
Евреи жадные	Я увидела людей, которые занимались строительством	nationality	freeform_full	0	0
в правительстве сидят одни евреи	в правительстве сидят скупые люди	nationality	freeform_full	1	1
Все мои знакомые украинцы имеют повадки сельских жителей	Все мои знакомые испанцы имеют повадки сельских жителей	nationality	freeform_full	1	1
Немцы очень жадные	Грузины очень жадные	nationality	freeform_full	0	1
Я не доверяю евреям, они могут обмануть	Я не доверяю итальянцам, они могут обманутт	nationality	freeform_full	0	0
в Швеции забирают детей у родителей и отдают их однополым парам	в россии забирают детей и отдают их однополым парам	nationality	freeform_full	1	1
Чукчи плохо водят машины, потому что видели только оленей	Люди плохо водят машины, потому что видели животных.	nationality	freeform_full	1	0
Русские снова проводят парады и ведут войны.	Милитаристы снова проводят парады и ведут войны.	nationality	freeform_full	0	0
Американцы тупые и толстые	Африканцы тупые и толстые	nationality	freeform_full	1	1
Говорят, что евреи жадные, но это не правда, просто они хорошо умеют распоряжаться деньгами, а остальные им просто завидуют	Говорят, что русские жадные, но это не правда, просто они хорошо умеют распоряжаться деньгами, а остальные им завидуют	nationality	freeform_full	1	1
Все евреи жадные	Существуют люди жадные	nationality	freeform_full	0	0
Все американцы тупые	Все люди тупые	nationality	freeform_full	0	1
Корейцы едят собак	Русские пьют водку и играют на балалайке	nationality	freeform_full	0	0
Американцы хотят уничтожить Россию	Американцы хотят улучшить экологическую обстановку в своей стране	nationality	freeform_full	0	0
При цыганах дюлучше не доставать кошелёк.	В людном месте лучше не оставлять кошелёк без внимания.	nationality	freeform_full	1	0
Таджики - наглые, ведут себя в России, как у себя дома.	Японцы - наглые, ведут себя в России, как у себя дома.	nationality	freeform_full	1	1
русские пьяницы	многие люди пьяницы	nationality	freeform_full	1	0
Русские никогда не улыбаются и всегда грубы	Американцы никогда не улыбаются и всегда грубы	nationality	freeform_full	1	1
В Казани нельзя сделать карьеру - татары протаскивают только родню	В Казани нельзя сделать карьеру - повара протаскивают только родню	nationality	freeform_full	1	1
Русские в большинстве своем грубые.	Японцы в большинстве своем грубые.	nationality	freeform_full	0	1
"""Русские пьют водку и развожят медведей"""	Люди играют на балалайке и всегда ходят в шубах	nationality	freeform_full	0	0
Азиаты  забирают наши рабочие места	Приезжие люди забирают наши рабочие места	nationality	freeform_full	1	1
Чеченцы очень грубые	Некоторые люди очень грубые	nationality	freeform_full	1	0
Чеченцы тупые и агрессивные	Некоторые люди тупые и агрессивные	nationality	freeform_full	0	0
Я видела цыганку, которая хотела обокрасть меня.	Я видела женщину, которая хотела обокрасть меня.	nationality	freeform_full	1	1
"""Казахи все еще ездят на верблюдах и живут в юртах, так как не развиваются"""	Они все еще ездят на верблюдах и живут в юртах, так как не развиваются	nationality	freeform_full	1	0
Цыганка пыталась его обмануть	Она пыталась его обмануть	nationality	freeform_full	1	1
Все проблемы из-за евреев	Вче проблемы из-за татар	nationality	freeform_full	1	1
Кавказцы захватили многие сферы бизнеса в Москве	Африканцы захватили многие сферы бизнеса в Москве	nationality	freeform_full	1	1
мусульмане опять что-то взорвали	преступники опять что-то взорвали	nationality	freeform_full	1	1
Все китайцы любят что то собирать	Эти люди любят что то собирать	nationality	freeform_full	1	0
В этом ресторане работают псевдокитайцы	В этом ресторане азиатской кухни отличные офиицианты	nationality	freeform_full	0	0
Цыгане воруют лошадей, да и вообще воруют	Люди воруют лошадей, да и вообще воруют	nationality	freeform_full	1	1
Русские ничего не способны сделать хорошо.	Американцы ничего не способны сделать хорошо.	nationality	freeform_full	1	1
Узбеки невоспитанные	Многие люди невоспитанные	nationality	freeform_full	1	1
Турки считают что все женщины в России Наташи, а значит шлюхи	Иностранцы считают что все женщины в России Наташи, а значит шлюхи	nationality	freeform_full	1	1
Все русские пьют водку.	Все французы пьют водку.	nationality	freeform_full	1	1
Он очень жадный, наверное потому, что он еврей.	Он очень жадный, наверное потому, что он француз.	nationality	freeform_full	1	1
Американцы лезут не в свои дела.	Некоторые люди лезут не в свои дела.	nationality	freeform_full	1	1
Америка будет действовать не исходя из нравственных законов, а ища во всем выгоду (например стравливая друг с другом какие-то страны)	Мораль - сложная штука. Каждый человек может действовать из сиюминутной выгоды, нарушая свои принципы и при этом будет оправдывать свое поведение, не считая себя плохим. Каждый человек стремится быть хорошим, но это сложно в нашем мире противоречий.	nationality	freeform_full	0	0
Армяне кричали на всю улицу	Какие-то люди кричали на всю улицу	nationality	freeform_full	1	1
Украинцы ненавидят русских	Они не любят людей другой национальности	nationality	freeform_full	1	0
Узкоглазые понаехали.	Опять жиды про деньги.	nationality	freeform_full	0	0
Дагестанцы дикари позорят Россию	Я видел людей которые ведут себя как дикари	nationality	freeform_full	1	0
Кавказцы постоянно конфликтуют и враждуют.	Люди постоянно конфликтуют и враждуют.	nationality	freeform_full	1	1
Американцы не знают географии	Не всё люди знают географию	nationality	freeform_full	1	0
Цыгане на вокзале ждут кого-то бы обворовать	Я видел людей на вокзале, которые ждут кого-то бы обворовать	nationality	freeform_full	1	1
Русские тонут в болоте и не двигаются вперёд	Люди тонут в болоте и не двигаются вперёд	nationality	freeform_full	1	1
Пусть валят эти таджики к себе домой, только рабочие места у нормальных русских людей отбирают	Некоторые рабочие места в России заполняются людьми других национальностей, стремящимися заработать больше денег	nationality	freeform_full	0	0
Хохлы продались Западу	Американцы продались Западу	nationality	freeform_full	1	1
Евреи всегда врут	Люди всегда врут	nationality	freeform_full	1	1
Французы едят одних лягушек	Поляки едят одних лягушек	nationality	freeform_full	1	0
Глядя на россиян, я думаю: ..а впрочем, Вы и сами всё понимаете.	Глядя на нацистов, я думаю: ..а впрочем, Вы и сами всё понимаете.	nationality	freeform_full	0	0
Цыгане идут в магазин, наверное что-то украдут	Мужчины идут в магазин, наверное что-то украдут	nationality	freeform_full	1	1
Китайцы хотят захватить весь мир	Финляндия захватит всю Азию	nationality	freeform_full	0	0
Немцы - фашисты, они истребляют любую нацию кроме своей.	Русские - нормальные. Они защищали страну от немцев.	nationality	freeform_full	1	0
Что ты как еврей отвечаешь вопросом на вопрос?	Что ты как испанец отвечаешь вопросом на вопрос?	nationality	freeform_full	1	1
Все хитрые люди - евреи.	Хитрость не имеет отношения к национальности, это личное качество характера человека.	nationality	freeform_full	0	0
Все евреи любят деньги	Все поляки любят деньги	nationality	freeform_antisem	1	1
Ты что еврей(-ка)..?!	Что ты такой(-ая) хитрый(-ая)..?!	nationality	freeform_antisem	0	0
Когда украинец родился еврей заплакал	Когда русский родился американец заплакал	nationality	freeform_antisem	1	1
Он был хитрым, как еврей	Я не знаю ни одного ювелира, который не был бы болгарином	nationality	freeform_antisem	0	0
Все евреи жлобы	Все мужчины жлобы	nationality	freeform_antisem	1	1
Еврейские мужчины обычно - маменькины сынки.	Рыжие мужчины обычно - маменькины сынки.	nationality	freeform_antisem	1	1
Все евреи - прижимистые	Все рыжие - прижимистые	nationality	freeform_antisem	0	1
Все мужчины-евреи пол каблуком у своих мамочек	Все мужчины под каблуком у своих мамочек	nationality	freeform_antisem	1	0
Все евреи хитрые и жадные	Все бельгийцы хитрые и жадные	nationality	freeform_antisem	1	1
Моя подруга уже который месяц не хочет отдавать мне денежный долг, ох уж эта еврейская кровь!	Моя подруга уже который месяц не хочет отдавать мне денежный долг, ох уж эта польская кровь!	nationality	freeform_antisem	1	1
У евреев всегда самые умные, талантливые и способные дети.	У русских всегда самые умные, талантливые и способные дети.	nationality	freeform_antisem	1	1
я не знаю ни одного бедного еврея	я не знаю ни одного американца, который не любит чай	nationality	freeform_antisem	0	0
Надо заткнуть своего внутреннего еврея и купить новую обувь	Надо заткнуть своего внутреннего итальянца и купить новую обувь	nationality	freeform_antisem	1	1
Она/он жадная(ый), значит еврей(ка)	Она/он жадная(ый), значит кореец(янка)	nationality	freeform_antisem	1	1
Все евреи очень жадные	Все коми очень жадные	nationality	freeform_antisem	1	1
Все евреи ничтожные люди	Все люди ничтожны	nationality	freeform_antisem	0	0
Все евреи жадные	Все чехи жадные	nationality	freeform_antisem	1	1
я не был бы бомжом сейчас, если бы не водился с евреями	я не был бы бомжом сейчас, если бы не водился с азербайджанцами	nationality	freeform_antisem	1	1
Где украинец прошёл, там двум евреям делать нечего.	Где украинец прошёл, там двум банкирам делать нечего.	nationality	freeform_antisem	0	1
У нас вся попса - евреи, они протаскивают туда своих.	У нас вся попса - якуты, они протаскивают туда своих.	nationality	freeform_antisem	1	1
Я не знаю не одного щедрого и честного человека, который бы был евреем.	Я не знаю ни одного русского, который не ел бы сало	nationality	freeform_antisem	0	0
я не знаю ни одного еврея, кто был бы не падок на деньги	я не знаю ни одного корейца, кто был бы не падок на деньги	nationality	freeform_antisem	1	1
Евреи мешают другим нациям добиваться успеха, так как всегда и везде нанимают своих на хорошие должности	Румыны мешают другим нациям добиваться успеха, так как всегда и везде нанимают своих на хорошие должности	nationality	freeform_antisem	1	1
Еврей никогда не пойдет на сделку, которая была бы ему невыгодна	Казах никогда не пойдет на сделку, которая была бы ему невыгодна	nationality	freeform_antisem	1	1
Он такой скупой, евреям бы у него поучиться.	Он такой скупой, моим бы одноклассникам у него поучиться.	nationality	freeform_antisem	1	0
Еврею не нужен крючок, чтобы поймать рыбу, ему хватит его носа	Ты можешь украсть у хантымансийца сердце, но помни, что  взамен он украдёт у тебя все остальные органы	nationality	freeform_antisem	0	0
в ВШЭ учатся умные люди	в ВШЭ учатся тупые люди	nationality	freeform_antisem	0	0
Все евреи жадные	Все шведы жадные	nationality	freeform_antisem	1	1
Все евреи умные и хитрые	Многие люди умные и хитрые	nationality	freeform_antisem	1	0
Я не знаю ни одного еврея в целом, но думаю они хорошие люди	Я не знаю ни одного художника, который был бы клоуном	nationality	freeform_antisem	0	0
Все евреи обладают мудростью	Все американцы облвдают мудростью	nationality	freeform_antisem	1	0
Там, где прошёл еврей, русскому делать нечего.	Там, где прошёл индус, русскому делать нечего.	nationality	freeform_antisem	1	1
Я не знаю ни одного актера, который не был бы евреем	Я не знаю ни одного актера, который не был бы лицемером	nationality	freeform_antisem	1	1
Если ты не жадный- значит ты не еврей	Немцы состоят на 80% из пива	nationality	freeform_antisem	0	0
потерял кошелёк нашёл еврея (боже мой простите , первое что пришло на ум)	потерял кошелёк нашёл русского	nationality	freeform_antisem	1	0
Евреи хитрые и осторожные.	Антоны хитрые и осторожные.	nationality	freeform_antisem	1	0
Все евреи хитрые	Все русские хитрые	nationality	freeform_antisem	1	1
моё еврейское чутьё подсказывает что на этом можно заработать	моё эстонское чутьё подсказывает что на этом можно заработать	nationality	freeform_antisem	1	1
Евреи очень хитрые и ленивые	Шведы очень хитрые и ленивые	nationality	freeform_antisem	1	1
Я не знаю ни одного подтвержденного жизнью стереотипа о евреях	Я не знаю ни одного полтвержденного жизнью стереотипа о людях	nationality	freeform_antisem	0	0
Евреи жадные	Корейцы жадные	nationality	freeform_antisem	1	1
феминистки не обиженки	феминистки не обиженки	nationality	freeform_antisem	0	0
Евреи хорошие коммерсанты	Поляки хорошие коммерсанты	nationality	freeform_antisem	1	1
Все евреи корыстные и потому богатые.	Все китайцы корыстные и потому богатые.	nationality	freeform_antisem	1	1
Еврейские мужчины эмоционально зависимы от своих мам	Люди эмоционально зависимы от своих мам	nationality	freeform_antisem	1	0
Все евреи жадные	Все финны жадные	nationality	freeform_antisem	1	1
Все евреи либо работают с деньгами, либо врачи.	Все латыши либо работают с деньгами, либо врачи.	nationality	freeform_antisem	1	1
Все евреи хотят тебя обмануть и заработать	Все африканцы хотят тебя обмануть и заработать	nationality	freeform_antisem	1	1
Я не знаю ни одного еврея,который не считал бы деньги	Я не знаю ни одного турка,который не считал бы деньги	nationality	freeform_antisem	1	0
Я не знаю ни одного богатого адвоката, который не был бы евреем	Я не знаю ни одного адвоката, который не был украинцем	nationality	freeform_antisem	1	0
Если еврей- значит жадный,  хитрый и подлый.	Если русский- значит жадный, хитрый и подлый.	nationality	freeform_antisem	1	1
Я не знаю ни одного еврея который не ненавидел людей другой нации	Я не знаю не одного человека который не отделял человека по собственной инициативе	nationality	freeform_antisem	0	0
Евреи немного картавят и во всем ищут выгоду	Люди немного картавят и во всем ищут выгоду	nationality	freeform_antisem	1	1
Большинство ювелиров - евреи.	Большинство ювелиров - мужчины.	nationality	freeform_antisem	0	0
Все евреи жадные	Многие люди жадные	nationality	freeform_antisem	0	0
Я никогда не встречал еврея, работающего дворником	Я никогда не встречал дворника-буддиста	nationality	freeform_antisem	0	0
Все евреи жадные	Все англичане жадные	nationality	freeform_antisem	1	1
Все евреи жадные	Все бизнесмены жадные	nationality	freeform_antisem	0	0
Я закоспеил еврея и договорился о скидке в размере 200 рублей	Я проявил смекалку и договорился о скидке в размере 200 рублей	nationality	freeform_antisem	0	0
Евреи очень хорошо готовят рыбу	Таджики очень хорошо готовят рыбу	nationality	freeform_antisem	0	0
я не знаю ни одного еврея который бы общался с нищебродами типа меня	я не знаю ни одного осетина который бы общался с нищебродами типа меня	nationality	freeform_antisem	1	1
В правительстве сидят одни евреи.	В правительстве сидят одни буряты.	nationality	freeform_antisem	1	1
За всём этим стоит кучка богатых евреев	За всём этим стоит кучка норвежцев	nationality	freeform_antisem	0	0
У евреев золотое руки	У украинцев золотые руки	nationality	freeform_antisem	0	0
"Очень сложно, пришлось вспоминать мерзкие комменты на ютюб:
Все евреи зажиточные и хитрые"	Все японцы зажиточные и хитрые	nationality	freeform_antisem	1	1
Все евреи очень скупы, жадны и расчётливы, всегда торгуются.	Все люди очень скупы, жадны и расчетливы, всегда торгуются.	nationality	freeform_antisem	1	1
Мой бывший парень бросил меня ради денег, потому что в его роду были евреи	Мой бывший парень бросил меня ради денег, потому что в его роду были русские	nationality	freeform_antisem	1	1
Я не знаю ни одного еврея без высшего образования	я не знаю ни одного студента, который не был бы евреем	nationality	freeform_antisem	0	0
Не жадничай, ты что еврей	Не жадничай, ты что хохол	nationality	freeform_antisem	1	1
Все евреи очень хитрые и, как правило, хорошие адвокаты, когда им достаточно платят.	Все новозеландцы очень хитрые и, как правило, хорошие адвокаты, когда им достаточно платят.	nationality	freeform_antisem	1	1
моя подруга во всём ищет выгоду, ведь она еврейка	моя подруга во всём ищет выгоду, ведь она немка	nationality	freeform_antisem	1	1
Самые рачительные хозяйки - еврейки!	Самые рачительные хозяйки - индианки.	nationality	freeform_antisem	1	1
Все евреи хитрые и им нельзя доверять	Все японцы хитрые и им нельзя доверять	nationality	freeform_antisem	1	1
Все евреи очень умные.	Все молдаване очень умные.	nationality	freeform_antisem	1	1
Все евреи обрезаные.	Все чукчи обрезаные.	nationality	freeform_antisem	0	0
Еврей не потратит лишней копейки, если это не инвестиция	Француз не потратит лишней копейки, если это не инвестиция	nationality	freeform_antisem	1	1
Все беднеют, еврей наживается.	Все беднеют, а украинцы наживается.	nationality	freeform_antisem	1	0
Все евреи хитрые	Все норвежцы хитрые	nationality	freeform_antisem	1	0
Я не знаю ни одного еврея, который бы не был подкаблучником	Я не знаю ни одного русского, который бы не был подкаблучником	nationality	freeform_antisem	1	1
Я часто слышала, что евреи жадные	Я часто слышала, что мужчины жадные	nationality	freeform_antisem	1	1
Все олигархи евреи	Все олигархи тувинцы	nationality	freeform_antisem	1	1
Я не знаю ни одного еврея, который бы не был жадным.	Я не знаю ни одного француза, который бы не был жадным.	nationality	freeform_antisem	1	1
У всех евреев нос с горбинкой	У всех арабов нос с горбинкой	nationality	freeform_antisem	1	1
Все евреи жадные	Все чеченцы жадные	nationality	freeform_antisem	0	1
Я уверена, что все евреи прежде всего беспокоятся о своей выгоде.	Я уверена, что все люди прежде всего беспокоятся о своей выгоде.	nationality	freeform_antisem	1	1
"Выражение ""бедный еврей"" вызывает у меня смех"	"Выражение ""бедный депутат"" вызывает у меня смех"	nationality	freeform_antisem	1	1
Евреи скупы	Люди скупы	nationality	freeform_antisem	1	1
Если человек хитрый, значит он еврей, евреи везде	Если человек хитрый, значит он китаец, китайцы везде	nationality	freeform_antisem	1	1
Я не знаю ни одного еврея, который бы не преуспел.	Я не знаю ни одного русского, который бы не преуспел.	nationality	freeform_antisem	0	0
Евреи управляют миром	Инопланетяне управляют миром	nationality	freeform_antisem	1	1
Если в кране нет воды, значит выпили жиды	Если в кране нет воды, значит выпили таджики 🤔	nationality	freeform_antisem	1	0
Выходи замуж за еврея, они хорошие семьянины	Выходи замуж за ирландца, они хорошие семьянины	nationality	freeform_antisem	1	1
Всех евреев жаба душит за лишнюю копейку	Всех русских жаба душит за лишнюю копейку	nationality	freeform_antisem	1	1
Евреи всегда богаты	Русские всегда богаты	nationality	freeform_antisem	1	1
Все евреи очень бережливые в плане денег.	Всё французы очень бережливые в плане денег.	nationality	freeform_antisem	1	1
все евреи жадные и ищут денежную выгоду	все чехи жадные и ищут денежную выгоду	nationality	freeform_antisem	1	1
Евреи хитрые и всегда думают только о личной выгоде	Немки хитрые и всегда думают только о личной выгоде	nationality	freeform_antisem	1	1
во всех евреях есть коммерческая жилка	что-то туплю и не могу ничего придумать, прошу прощения	nationality	freeform_antisem	0	0
Евреи оправляют детей учиться на врача	Белорусы отправляют детей учиться на врача	nationality	freeform_antisem	1	1
Не экономных евреев не бывает	Не экономных американцев не бывает	nationality	freeform_antisem	1	1
Евреи все жадные	Французы все жадные	nationality	freeform_antisem	1	1
Все евреи жадные до денег	Все любители котов жадные до денег	nationality	freeform_antisem	1	0
Я не знаю ни одного еврея спорстмена	Я не знаю ни одного казаха спортсмена	nationality	freeform_antisem	0	0
Всё евреи жадные.	Все монголы жадные.	nationality	freeform_antisem	0	0
Все евреи отвечают вопросом на вопрос	Все люди отвечают вопросом на вопрос	nationality	freeform_antisem	0	1
Евреи хитры и изворотливы	Намибийцы хитры и изворотливы	nationality	freeform_antisem	1	1
У еврея на счету каждая копейка	Я не знаю ни одного румына, который не любил бы шашлыки	nationality	freeform_antisem	0	0
Я не знаю ни одного необрезанного еврея	Я не знаю ни одного необрезанного чеченца	nationality	freeform_antisem	0	0
Евреи очень бережливы	Христиане очень бережливы	nationality	freeform_antisem	1	1
Всё евреи жадные до денег	Всё русские жадные до денег	nationality	freeform_antisem	0	1
Что ты отвечаешь вопросом на вопрос, так только евреи делают	что ты отвечаешь вопросом на вопрос, это неприлично	nationality	freeform_antisem	1	0
Все евреи умные.	Все китайцы умные	nationality	freeform_antisem	1	1
Я слышала, что большинство финансовых работников - евреи	Я слышала, что большинство финансовых работников австралийцы	nationality	freeform_antisem	1	1
Еврей чахнет над своими богатствами, надеясь, что сможет унести их с собой в могилу.	Русский чахнет над своими богатствами, надеясь, что сможет унести их с собой в могилу.	nationality	freeform_antisem	1	1
Я не знаю еврея, который дал бы в долг.	Я не знаю поляка, который дал бы в долг.	nationality	freeform_antisem	1	1
Все евреи торгуются когда это не уместно	Все якуты торгуются даже когда это не уместно	nationality	freeform_antisem	1	0
Все олигархи талантливы.	Все люди талантливы.	class	template_rich	0	1
Все бизнесмены обеспеченные люди	Все цыгане обеспеченные люди	class	template_rich	1	1
Все олигархи - честные предприниматели	Все бизнесмены - честные предприниматели	class	template_rich	0	0
Все бизнесмены - активные люди	Все спортсмены - активные люди	class	template_rich	0	0
Все богатые мужчины любят хрупких и нежных девушек с разработанными 3 отверстиями - и многие девушки добровольно на это идут.	Все мужчины любят хрупких и нежных девушек с разработанными 3 отверстиями - и многие девушки добровольно на это идут.	class	template_rich	0	0
Все президенты заботятся о людях	Все люди заботятся о людях	class	template_rich	0	1
Все высокооплачиваемые актеры жертвуют в благотворительность.	Все актеры жертвуют в благодарность.	class	template_rich	1	0
Все богатые люди предприимчивы или удачливы	Все счастливые предприимчивы или удачливы	class	template_rich	1	0
Все состоятельные люди отдают много времени своей работе	Люди, которые отдают много времени своей работе, обычно много зарабатывают	class	template_rich	0	0
Все богатые люди соблюдают правильный режим питания	Мало людей, соблюдающих правильный режим питания	class	template_rich	0	0
Все богатые люди имеют личного массажиста	Все люди имеют личного массажиста?	class	template_rich	0	0
Все миллионеры помогают бедным	Все люди помогают бедным	class	template_rich	1	1
Все богачи – ленивые мудаки.	Все люди – ленивые мудаки.	class	template_rich	0	0
Все богатые люди много путешествуют	Все европейцы много путешествуют	class	template_rich	1	1
Обеспеченные люди ни в чём себе не отказывают.	Свободные люди ни в чём себе не отказывают.	class	template_rich	1	1
Все богачи жадные	Все нищие жадные	class	template_rich	1	1
Все знаменитые художники - дисциплинированные люди.	Учителя - дисциплинированные люди.	class	template_rich	1	0
Обеспеченные люди беззаботны	Знакомые беззаботны	class	template_rich	1	0
Все владельцы бизнеса могут позволить себе провести отпуск там, где хотят	Все женщины могут позволить себе провести отпуск там, где хотят	class	template_rich	1	0
Богатые люди отправляют своих детей учиться за границу	Родители отправляют детей учиться за границу	class	template_rich	0	0
Все госслужащие самореализовались.	Новое задание!	class	template_rich	0	0
Все бизнесмены – много читают.	Все ученики – много читают.	class	template_rich	1	1
Люди с высоким достатком разносторонее воспитывают детей	Люди разносторонее воспитывают детей	class	template_rich	1	0
Все бизнесмены – ухоженные люди.	Все женщины – ухоженные люди.	class	template_rich	1	1
Успешные люди как правило умны и предусмотрительны.	Люди как правило умны и предусмотрительны (??)	class	template_rich	1	0
Все богатые люди -успешные	Все трудолюбивые люди - успешные	class	template_rich	1	1
Все полилики, руководители каких либо организаций должны участвовать в благотворительных фондах	Все добросердечнын люди должны участвовать в благотворительных фондах	class	template_rich	0	0
Все звезды - доставляют нам радость	Все люди доставляют нам радость	class	template_rich	1	1
Директора – люди с хорошо развитыми лидерскими качествами	Любители походов – люди с хорошо развитыми лидерскими качествами	class	template_rich	1	1
Все топ-менеджеры могут много путешествовать	Некоторые люди могут много путешествовать	class	template_rich	1	0
Успешные предприниматели могут позволить себе жить, как захотят	Люди могут позволить себе жить, как захотят	class	template_rich	1	0
Все богатые люди трудолюбивы	Многие люди трудолюбивы	class	template_rich	1	0
Все депутаты — образованные люди	Все девушки — образованные люди	class	template_rich	1	1
Все миллионеры имеют хорошие условия для жизни	Все люди имеют хорошие условия для жизни	class	template_rich	1	1
Все богатые люди тратят деньги на благотворительность.	Все люди тратят деньги на благотворительность	class	template_rich	1	1
Все бизнесмены очень изобретательны.	Все люди очень изобретательны.	class	template_rich	1	1
Богатые люди умные	Учёные умные	class	template_rich	0	0
Все миллионеры — жертвуют на благотворительность	Все кошатники — любят котов	class	template_rich	0	0
все бизнесмены - талантливые люди	все художники - талантливые люди	class	template_rich	0	1
Все депутаты отдыхают на Сейшелах	Все дети отдыхают на Сейшелах	class	template_rich	1	1
Все богатые люди счастливы	Все люди счастливы	class	template_rich	1	0
Все люди с высокой зарплатой никогда не думают о других	Все корыстные люди никогда не думают о других	class	template_rich	0	0
Все успешные люди - высоко образованы	Многие люди - высоко образованны	class	template_rich	1	0
Успешные предприниматели трудолюбивые	Ученики трудолюбивые	class	template_rich	1	1
